Model,FK_Readability,FK_Grade,FK_CalcGrade,Num_Words,Num_Syllables,Num_Sentences
GPT-4_RAGNFS,94.835,5th Grade,2.274,334,406,37
GPT-4_RAGNFS,96.494,5th Grade,2.542,320,375,29
GPT-4_RAGNFS,91.661,5th Grade,2.762,267,334,29
GPT-4_RAGNFS,94.285,5th Grade,2.476,324,394,34
GPT-4_RAGNFS,96.194,5th Grade,2.341,342,406,34
GPT-4_RAGNFS,89.473,6th Grade,3.687,316,394,27
GPT-4_RAGNFS,91.131,5th Grade,3.017,318,397,32
GPT-4_RAGNFS,91.951,5th Grade,3.309,324,395,28
GPT-4_RAGNFS,99.003,5th Grade,2.062,431,495,41
GPT-4_RAGNFS,92.814,5th Grade,3.1,258,313,23
GPT-4_RAGNFS,99.708,5th Grade,1.537,255,296,29
GPT-4_RAGNFS,91.883,5th Grade,3.351,316,385,27
GPT-4_RAGNFS,83.294,6th Grade,4.345,370,492,34
GPT-4_RAGNFS,89.347,6th Grade,3.569,357,448,32
GPT-4_RAGNFS,92.016,5th Grade,2.941,314,388,31
GPT-4_RAGNFS,88.327,6th Grade,3.7,400,507,36
GPT-4_RAGNFS,89.051,6th Grade,3.429,292,370,28
GPT-4_RAGNFS,97.701,5th Grade,2.274,351,408,33
GPT-4_NRAG,92.984,5th Grade,2.7,388,477,40
GPT-4_NRAG,103.26,5th Grade,1.122,383,427,42
GPT-4_NRAG,98.365,5th Grade,1.59,355,420,43
GPT-4_NRAG,91.301,5th Grade,3.052,468,582,46
GPT-4_NRAG,86.075,6th Grade,3.846,407,530,39
GPT-4_NRAG,91.768,5th Grade,3.167,436,536,40
GPT-4_NRAG,92.541,5th Grade,2.914,330,405,32
GPT-4_NRAG,80.998,6th Grade,4.879,505,680,43
GPT-4_NRAG,98.366,5th Grade,2.141,377,436,36
GPT-4_NRAG,88.5,6th Grade,3.284,429,551,45
GPT-4_NRAG,92.188,5th Grade,3.083,421,516,39
GPT-4_NRAG,98.698,5th Grade,2.072,436,503,42
GPT-4_NRAG,88.69,6th Grade,3.447,381,485,37
GPT-4_NRAG,91.7,5th Grade,2.805,395,493,42
GPT-4_NRAG,89.33,6th Grade,2.929,360,463,42
GPT-4_NRAG,93.447,5th Grade,2.664,373,456,38
GPT-4_NRAG,88.407,6th Grade,3.654,384,487,35
GPT-4_NRAG,95.0,5th Grade,2.92,375,443,32
GPT-4_NRAG,90.784,5th Grade,2.934,367,462,39
GPT-4_NRAG,94.154,5th Grade,2.201,384,473,46
GPT-4_NRAG,92.522,5th Grade,2.866,374,460,37
GPT-4_NRAG,91.328,5th Grade,3.012,351,437,35
GPT-4_NRAG,79.021,7th Grade,5.467,403,546,31
GPT-4_NRAG,91.403,5th Grade,2.766,454,570,50
GPT-4_NRAG,98.575,5th Grade,1.556,387,457,47
GPT-4_NRAG,90.125,5th Grade,3.112,400,505,41
GPT-4_NRAG,89.265,6th Grade,3.923,351,435,28
GPT-4_NRAG,83.741,6th Grade,4.598,401,525,33
GPT-4_NRAG,86.407,6th Grade,4.051,332,427,29
GPT-4_NRAG,93.586,5th Grade,2.329,487,602,57
GPT-3.5-TURBO-0125_RAGFS,82.072,6th Grade,4.834,219,291,18
GPT-3.5-TURBO-0125_RAGFS,77.494,7th Grade,4.381,101,145,13
GPT-3.5-TURBO-0125_RAGFS,72.123,7th Grade,6.023,250,364,22
GPT-3.5-TURBO-0125_RAGFS,87.275,6th Grade,4.199,213,269,17
GPT-3.5-TURBO-0125_RAGFS,74.783,7th Grade,5.384,288,414,28
GPT-3.5-TURBO-0125_RAGFS,59.194,11th Grade,8.539,242,381,17
GPT-3.5-TURBO-0125_RAGFS,85.44,6th Grade,3.773,274,361,28
GPT-3.5-TURBO-0125_RAGFS,80.88,6th Grade,4.376,193,265,20
GPT-3.5-TURBO-0125_RAGFS,55.193,11th Grade,10.178,223,350,12
GPT-3.5-TURBO-0125_RAGFS,51.296,11th Grade,8.324,134,232,15
GPT-3.5-TURBO-0125_RAGFS,81.723,6th Grade,4.179,308,421,33
GPT-3.5-TURBO-0125_RAGFS,78.338,7th Grade,4.934,178,248,17
GPT-3.5-TURBO-0125_RAGFS,62.483,9th Grade,7.417,185,290,16
GPT-3.5-TURBO-0125_RAGFS,78.024,7th Grade,5.051,183,255,17
GPT-3.5-TURBO-0125_RAGFS,83.947,6th Grade,3.418,218,297,29
GPT-3.5-TURBO-0125_RAGFS,76.714,7th Grade,5.281,241,339,22
GPT-3.5-TURBO-0125_RAGFS,83.371,6th Grade,4.86,234,305,18
GPT-3.5-TURBO-0125_RAGFS,87.783,6th Grade,3.514,171,220,17
GPT-3.5-TURBO-0125_RAGFS,64.57,9th Grade,7.182,224,345,19
GPT-3.5-TURBO-0125_RAGFS,46.83,College Level,9.245,152,269,15
GPT-3.5-TURBO-0125_RAGFS,76.884,7th Grade,5.97,235,322,17
GPT-3.5-TURBO-0125_RAGFS,71.564,7th Grade,6.159,174,254,15
GPT-3.5-TURBO-0125_RAGFS,80.455,6th Grade,4.09,190,265,23
GPT-3.5-TURBO-0125_RAGFS,67.201,9th Grade,6.466,135,206,13
GPT-3.5-TURBO-0125_RAGFS,61.489,9th Grade,7.276,167,266,16
GPT-3.5-TURBO-0125_RAGFS,66.881,9th Grade,7.562,190,281,13
GPT-3.5-TURBO-0125_RAGFS,85.159,6th Grade,4.5,226,291,18
GPT-3.5-TURBO-0125_RAGFS,56.303,11th Grade,8.367,143,234,12
GPT-3.5-TURBO-0125_RAGFS,75.658,7th Grade,5.72,279,392,23
GPT-3.5-TURBO-0125_RAGFS,62.103,9th Grade,7.2,241,382,23
GPT-3.5-TURBO-0125_RAGNFS,62.646,9th Grade,8.017,394,605,28
GPT-3.5-TURBO-0125_RAGNFS,51.552,11th Grade,9.694,321,533,22
GPT-3.5-TURBO-0125_RAGNFS,58.698,11th Grade,9.144,377,586,23
GPT-3.5-TURBO-0125_RAGNFS,76.393,7th Grade,5.61,242,338,20
GPT-3.5-TURBO-0125_RAGNFS,60.989,9th Grade,7.716,334,528,28
GPT-3.5-TURBO-0125_RAGNFS,51.241,11th Grade,9.734,277,461,19
GPT-3.5-TURBO-0125_RAGNFS,65.918,9th Grade,7.531,293,439,21
GPT-3.5-TURBO-0125_RAGNFS,58.362,11th Grade,8.781,339,535,23
GPT-3.5-TURBO-0125_RAGNFS,61.315,9th Grade,8.392,356,549,24
GPT-3.5-TURBO-0125_RAGNFS,64.176,9th Grade,7.472,433,664,34
GPT-3.5-TURBO-0125_RAGNFS,70.043,7th Grade,6.755,368,537,28
GPT-3.5-TURBO-0125_RAGNFS,67.015,9th Grade,6.549,276,421,26
GPT-3.5-TURBO-0125_RAGNFS,60.122,9th Grade,8.34,307,481,22
GPT-3.5-TURBO-0125_RAGNFS,70.462,7th Grade,6.164,275,407,25
GPT-3.5-TURBO-0125_RAGNFS,66.911,9th Grade,7.175,340,509,26
GPT-3.5-TURBO-0125_RAGNFS,74.679,7th Grade,6.362,255,355,18
GPT-3.5-TURBO-0125_RAGNFS,54.065,11th Grade,9.163,208,341,15
GPT-3.5-TURBO-0125_RAGNFS,55.598,11th Grade,9.219,314,505,21
GPT-3.5-TURBO-0125_RAGNFS,59.873,9th Grade,8.303,246,387,18
GPT-3.5-TURBO-0125_RAGNFS,57.273,11th Grade,8.549,607,977,46
GPT-3.5-TURBO-0125_RAGNFS,69.175,9th Grade,7.223,349,507,24
GPT-3.5-TURBO-0125_RAGNFS,67.36,9th Grade,7.165,372,554,28
GPT-3.5-TURBO-0125_RAGNFS,58.174,11th Grade,8.691,314,498,22
GPT-3.5-TURBO-0125_RAGNFS,66.714,9th Grade,7.482,284,422,20
GPT-3.5-TURBO-0125_RAGNFS,62.971,9th Grade,7.738,407,628,31
GPT-3.5-TURBO-0125_RAGNFS,56.763,11th Grade,8.06,361,593,33
GPT-3.5-TURBO-0125_RAGNFS,66.338,9th Grade,7.563,272,405,19
GPT-3.5-TURBO-0125_RAGNFS,66.358,9th Grade,7.286,251,377,19
GPT-3.5-TURBO-0125_RAGNFS,65.021,9th Grade,7.805,291,437,20
GPT-3.5-TURBO-0125_RAGNFS,65.599,9th Grade,7.786,370,552,25
GPT-3.5-TURBO-0125_NRAG,59.437,11th Grade,9.181,373,574,22
GPT-3.5-TURBO-0125_NRAG,70.083,7th Grade,7.693,288,407,17
GPT-3.5-TURBO-0125_NRAG,55.888,11th Grade,9.812,350,551,20
GPT-3.5-TURBO-0125_NRAG,64.128,9th Grade,8.26,270,404,17
GPT-3.5-TURBO-0125_NRAG,53.086,11th Grade,9.853,338,549,21
GPT-3.5-TURBO-0125_NRAG,64.028,9th Grade,7.965,322,487,22
GPT-3.5-TURBO-0125_NRAG,71.067,7th Grade,5.837,421,625,42
GPT-3.5-TURBO-0125_NRAG,59.556,9th Grade,8.397,416,655,30
GPT-3.5-TURBO-0125_NRAG,69.355,9th Grade,7.409,277,399,18
GPT-3.5-TURBO-0125_NRAG,68.603,9th Grade,7.352,280,408,19
GPT-3.5-TURBO-0125_NRAG,69.924,7th Grade,6.917,302,439,22
GPT-3.5-TURBO-0125_NRAG,74.24,7th Grade,6.465,301,420,21
GPT-3.5-TURBO-0125_NRAG,62.959,9th Grade,7.973,408,625,29
GPT-3.5-TURBO-0125_NRAG,64.087,9th Grade,8.491,319,474,19
GPT-3.5-TURBO-0125_NRAG,68.45,9th Grade,7.016,399,589,30
GPT-3.5-TURBO-0125_NRAG,71.296,7th Grade,6.342,329,479,27
GPT-3.5-TURBO-0125_NRAG,73.279,7th Grade,6.516,280,395,20
GPT-3.5-TURBO-0125_NRAG,63.735,9th Grade,7.746,299,457,22
GPT-3.5-TURBO-0125_NRAG,62.53,9th Grade,8.221,341,521,23
GPT-3.5-TURBO-0125_NRAG,59.026,11th Grade,9.864,370,560,19
GPT-3.5-TURBO-0125_NRAG,72.487,7th Grade,7.17,259,361,16
GPT-3.5-TURBO-0125_NRAG,52.745,11th Grade,10.899,362,572,18
GPT-3.5-TURBO-0125_NRAG,66.035,9th Grade,7.32,237,357,18
GPT-3.5-TURBO-0125_NRAG,67.394,9th Grade,7.52,280,412,19
GPT-3.5-TURBO-0125_NRAG,65.193,9th Grade,7.479,280,424,21
GPT-3.5-TURBO-0125_NRAG,63.96,9th Grade,7.169,547,849,48
GPT-3.5-TURBO-0125_NRAG,65.794,9th Grade,7.776,223,332,15
GPT-3.5-TURBO-0125_NRAG,67.904,9th Grade,7.223,401,592,29
GPT-3.5-TURBO-0125_NRAG,63.825,9th Grade,8.953,222,326,12
GPT-3.5-TURBO-0125_NRAG,60.041,9th Grade,8.758,343,531,22
GPT-4O-MINI_RAGFS,99.661,5th Grade,1.321,308,361,39
GPT-4O-MINI_RAGFS,97.978,5th Grade,1.515,263,314,34
GPT-4O-MINI_RAGFS,98.028,5th Grade,1.829,343,404,38
GPT-4O-MINI_RAGFS,97.399,5th Grade,1.593,224,269,29
GPT-4O-MINI_RAGFS,96.429,5th Grade,1.538,334,408,48
GPT-4O-MINI_RAGFS,96.902,5th Grade,1.643,260,314,34
GPT-4O-MINI_RAGFS,99.622,5th Grade,1.593,332,385,37
GPT-4O-MINI_RAGFS,92.235,5th Grade,2.577,325,406,37
GPT-4O-MINI_RAGFS,96.135,5th Grade,1.726,234,285,31
GPT-4O-MINI_RAGFS,88.685,6th Grade,2.487,360,475,56
GPT-4O-MINI_RAGFS,97.73,5th Grade,1.526,298,357,39
GPT-4O-MINI_RAGFS,98.519,5th Grade,1.539,301,356,37
GPT-4O-MINI_RAGFS,99.08,5th Grade,1.336,313,370,41
GPT-4O-MINI_RAGFS,98.704,5th Grade,1.56,258,304,31
GPT-4O-MINI_RAGFS,96.49,5th Grade,1.807,323,390,40
GPT-4O-MINI_RAGFS,100.938,5th Grade,1.153,262,303,33
GPT-4O-MINI_RAGFS,101.622,5th Grade,0.944,247,285,33
GPT-4O-MINI_RAGFS,92.498,5th Grade,2.386,351,440,43
GPT-4O-MINI_RAGFS,91.591,5th Grade,2.637,364,458,42
GPT-4O-MINI_RAGFS,93.953,5th Grade,1.83,371,465,55
GPT-4O-MINI_RAGFS,102.466,5th Grade,1.064,287,325,34
GPT-4O-MINI_RAGFS,96.296,5th Grade,1.624,282,344,39
GPT-4O-MINI_RAGFS,98.767,5th Grade,1.577,295,347,35
GPT-4O-MINI_RAGFS,91.249,5th Grade,2.68,320,404,37
GPT-4O-MINI_RAGFS,93.955,5th Grade,1.787,368,462,56
GPT-4O-MINI_RAGFS,96.204,5th Grade,1.792,267,324,34
GPT-4O-MINI_RAGFS,96.637,5th Grade,1.776,257,310,32
GPT-4O-MINI_RAGFS,100.409,5th Grade,1.159,253,295,33
GPT-4O-MINI_RAGFS,88.188,6th Grade,2.786,331,435,45
GPT-4O-MINI_RAGFS,99.215,5th Grade,1.309,304,359,40
GPT-4O-MINI_RAGNFS,93.043,5th Grade,2.583,389,480,42
GPT-4O-MINI_RAGNFS,84.456,6th Grade,4.017,429,568,42
GPT-4O-MINI_RAGNFS,86.585,6th Grade,3.618,451,588,46
GPT-4O-MINI_RAGNFS,88.536,6th Grade,3.845,378,475,32
GPT-4O-MINI_RAGNFS,88.043,6th Grade,3.227,362,469,40
GPT-4O-MINI_RAGNFS,84.396,6th Grade,4.281,461,605,41
GPT-4O-MINI_RAGNFS,98.18,5th Grade,2.087,406,472,40
GPT-4O-MINI_RAGNFS,87.366,6th Grade,3.442,534,693,56
GPT-4O-MINI_RAGNFS,101.132,5th Grade,1.623,338,382,34
GPT-4O-MINI_RAGNFS,85.789,6th Grade,4.012,394,512,36
GPT-4O-MINI_RAGNFS,91.939,5th Grade,2.702,374,467,41
GPT-4O-MINI_RAGNFS,86.474,6th Grade,3.713,405,527,40
GPT-4O-MINI_RAGNFS,88.026,6th Grade,3.571,469,600,45
GPT-4O-MINI_RAGNFS,89.345,6th Grade,3.333,398,504,39
GPT-4O-MINI_RAGNFS,88.111,6th Grade,3.268,407,526,44
GPT-4O-MINI_RAGNFS,88.844,6th Grade,3.77,444,557,38
GPT-4O-MINI_RAGNFS,92.575,5th Grade,2.769,351,433,36
GPT-4O-MINI_RAGNFS,97.001,5th Grade,2.291,464,545,45
GPT-4O-MINI_RAGNFS,89.547,5th Grade,3.218,414,525,42
GPT-4O-MINI_RAGNFS,85.011,6th Grade,4.04,499,655,47
GPT-4O-MINI_RAGNFS,103.466,5th Grade,1.653,398,432,35
GPT-4O-MINI_RAGNFS,84.679,6th Grade,3.872,361,479,37
GPT-4O-MINI_RAGNFS,85.532,6th Grade,4.576,379,484,29
GPT-4O-MINI_RAGNFS,91.689,5th Grade,2.833,409,510,43
GPT-4O-MINI_RAGNFS,88.529,6th Grade,3.252,424,545,45
GPT-4O-MINI_RAGNFS,86.533,6th Grade,3.591,464,606,48
GPT-4O-MINI_RAGNFS,97.008,5th Grade,2.36,339,397,32
GPT-4O-MINI_RAGNFS,92.728,5th Grade,2.659,432,534,46
GPT-4O-MINI_RAGNFS,95.566,5th Grade,2.044,366,444,43
GPT-4O-MINI_RAGNFS,94.386,5th Grade,2.643,359,433,35
GPT-4O-MINI_NRAG,87.346,6th Grade,3.395,476,619,51
GPT-4O-MINI_NRAG,91.612,5th Grade,2.8,476,595,51
GPT-4O-MINI_NRAG,85.162,6th Grade,3.916,551,725,54
GPT-4O-MINI_NRAG,91.01,5th Grade,2.934,534,670,56
GPT-4O-MINI_NRAG,79.361,7th Grade,4.711,548,759,54
GPT-4O-MINI_NRAG,93.772,5th Grade,2.669,481,585,48
GPT-4O-MINI_NRAG,91.344,5th Grade,3.078,443,550,43
GPT-4O-MINI_NRAG,84.142,6th Grade,3.984,525,699,53
GPT-4O-MINI_NRAG,90.707,5th Grade,3.384,503,623,45
GPT-4O-MINI_NRAG,84.36,6th Grade,3.968,518,688,52
GPT-4O-MINI_NRAG,86.983,6th Grade,3.601,498,646,50
GPT-4O-MINI_NRAG,86.916,6th Grade,3.954,533,683,47
GPT-4O-MINI_NRAG,82.077,6th Grade,4.509,543,730,50
GPT-4O-MINI_NRAG,91.838,5th Grade,3.061,536,661,51
GPT-4O-MINI_NRAG,83.38,6th Grade,4.376,597,792,54
GPT-4O-MINI_NRAG,93.275,5th Grade,2.763,516,630,51
GPT-4O-MINI_NRAG,91.071,5th Grade,2.949,443,555,46
GPT-4O-MINI_NRAG,88.729,6th Grade,3.551,494,626,46
GPT-4O-MINI_NRAG,88.203,6th Grade,3.494,429,549,42
GPT-4O-MINI_NRAG,90.842,5th Grade,2.965,593,745,62
GPT-4O-MINI_NRAG,88.322,6th Grade,3.549,462,589,44
GPT-4O-MINI_NRAG,89.236,6th Grade,3.204,539,687,56
GPT-4O-MINI_NRAG,83.243,6th Grade,4.434,527,699,47
GPT-4O-MINI_NRAG,91.58,5th Grade,2.948,456,567,46
GPT-4O-MINI_NRAG,83.419,6th Grade,4.278,502,668,47
GPT-4O-MINI_NRAG,87.304,6th Grade,3.732,544,699,51
GPT-4O-MINI_NRAG,95.77,5th Grade,2.228,459,551,49
GPT-4O-MINI_NRAG,84.637,6th Grade,4.243,494,647,44
GPT-4O-MINI_NRAG,86.532,6th Grade,3.775,562,729,54
GPT-4O-MINI_NRAG,91.64,5th Grade,3.287,509,624,45
GPT-4O_RAGFS,88.132,6th Grade,3.253,451,583,49
GPT-4O_RAGFS,96.985,5th Grade,2.113,278,329,29
GPT-4O_RAGFS,96.815,5th Grade,2.045,258,307,28
GPT-4O_RAGFS,88.774,6th Grade,3.533,449,569,42
GPT-4O_RAGFS,93.033,5th Grade,2.573,341,421,37
GPT-4O_RAGFS,98.115,5th Grade,1.913,273,320,29
GPT-4O_RAGFS,101.378,5th Grade,1.574,336,379,34
GPT-4O_RAGFS,92.37,5th Grade,2.554,456,569,52
GPT-4O_RAGFS,93.248,5th Grade,2.448,486,601,55
GPT-4O_RAGFS,97.352,5th Grade,1.408,299,362,43
GPT-4O_RAGFS,91.32,5th Grade,2.976,405,505,41
GPT-4O_RAGFS,98.663,5th Grade,1.936,373,433,38
GPT-4O_RAGFS,95.63,5th Grade,1.81,327,400,43
GPT-4O_RAGFS,99.838,5th Grade,1.76,332,381,34
GPT-4O_RAGFS,88.944,6th Grade,3.524,344,435,32
GPT-4O_RAGFS,99.85,5th Grade,1.454,333,387,39
GPT-4O_RAGFS,100.187,5th Grade,1.658,363,416,38
GPT-4O_RAGFS,87.825,6th Grade,3.522,445,572,44
GPT-4O_RAGFS,97.678,5th Grade,2.134,342,400,34
GPT-4O_RAGFS,105.654,5th Grade,0.505,359,395,45
GPT-4O_RAGFS,95.537,5th Grade,2.406,418,500,42
GPT-4O_RAGFS,101.183,5th Grade,1.374,269,307,30
GPT-4O_RAGFS,91.84,5th Grade,2.831,393,489,41
GPT-4O_RAGFS,96.114,5th Grade,2.071,357,429,40
GPT-4O_RAGFS,94.112,5th Grade,2.206,409,504,49
GPT-4O_RAGFS,90.274,5th Grade,3.342,366,457,34
GPT-4O_RAGFS,98.939,5th Grade,1.02,490,588,78
GPT-4O_RAGFS,93.069,5th Grade,2.444,279,346,32
GPT-4O_RAGFS,97.103,5th Grade,2.167,375,442,38
GPT-4O_RAGFS,101.871,5th Grade,0.446,427,501,76
GPT-4O_RAGNFS,90.862,5th Grade,2.911,468,589,50
GPT-4O_RAGNFS,95.677,5th Grade,2.64,395,467,36
GPT-4O_RAGNFS,93.253,5th Grade,3.07,431,520,38
GPT-4O_RAGNFS,87.661,6th Grade,4.211,435,546,34
GPT-4O_RAGNFS,89.843,5th Grade,3.467,419,524,38
GPT-4O_RAGNFS,89.783,5th Grade,3.824,435,537,35
GPT-4O_RAGNFS,89.554,5th Grade,3.258,421,533,42
GPT-4O_RAGNFS,94.245,5th Grade,2.598,460,557,46
GPT-4O_RAGNFS,86.303,6th Grade,3.923,435,563,40
GPT-4O_RAGNFS,85.537,6th Grade,4.286,488,630,41
GPT-4O_RAGNFS,82.406,6th Grade,4.402,329,442,31
GPT-4O_RAGNFS,92.826,5th Grade,2.723,398,490,41
GPT-4O_RAGNFS,89.245,6th Grade,3.076,474,607,52
GPT-4O_RAGNFS,83.179,6th Grade,4.737,409,537,33
GPT-4O_RAGNFS,84.103,6th Grade,4.194,472,624,44
GPT-4O_RAGNFS,90.794,5th Grade,3.328,363,450,33
GPT-4O_RAGNFS,87.711,6th Grade,3.886,426,541,37
GPT-4O_RAGNFS,89.783,5th Grade,3.363,444,558,42
GPT-4O_RAGNFS,86.747,6th Grade,3.651,361,469,36
GPT-4O_RAGNFS,92.923,5th Grade,2.849,421,515,41
GPT-4O_RAGNFS,89.223,6th Grade,3.44,391,494,37
GPT-4O_RAGNFS,86.076,6th Grade,3.964,371,481,34
GPT-4O_RAGNFS,85.824,6th Grade,4.277,409,526,34
GPT-4O_RAGNFS,83.869,6th Grade,4.667,425,554,34
GPT-4O_RAGNFS,83.01,6th Grade,4.604,400,529,34
GPT-4O_RAGNFS,88.754,6th Grade,3.619,463,585,42
GPT-4O_RAGNFS,87.828,6th Grade,3.912,409,518,35
GPT-4O_RAGNFS,81.002,6th Grade,5.006,429,575,35
GPT-4O_RAGNFS,81.055,6th Grade,5.015,419,561,34
GPT-4O_RAGNFS,81.6,6th Grade,4.755,498,668,43
GPT-4O_NRAG,82.603,6th Grade,4.327,396,532,38
GPT-4O_NRAG,96.691,5th Grade,2.167,424,503,44
GPT-4O_NRAG,81.398,6th Grade,4.601,434,587,40
GPT-4O_NRAG,85.717,6th Grade,3.737,382,502,39
GPT-4O_NRAG,100.682,5th Grade,1.54,449,513,48
GPT-4O_NRAG,85.944,6th Grade,3.673,377,495,39
GPT-4O_NRAG,96.728,5th Grade,2.225,465,550,47
GPT-4O_NRAG,80.461,6th Grade,4.872,468,635,41
GPT-4O_NRAG,90.952,5th Grade,3.259,454,563,42
GPT-4O_NRAG,86.762,6th Grade,3.85,401,517,37
GPT-4O_NRAG,96.131,5th Grade,1.781,404,491,52
GPT-4O_NRAG,102.94,5th Grade,1.21,446,498,48
GPT-4O_NRAG,78.747,7th Grade,4.995,405,560,37
GPT-4O_NRAG,92.549,5th Grade,2.89,460,565,45
GPT-4O_NRAG,82.073,6th Grade,4.099,442,603,48
GPT-4O_NRAG,82.232,6th Grade,4.619,467,624,41
GPT-4O_NRAG,91.764,5th Grade,2.234,357,455,50
GPT-4O_NRAG,101.56,5th Grade,1.617,457,513,45
GPT-4O_NRAG,94.169,5th Grade,2.524,454,552,47
GPT-4O_NRAG,95.351,5th Grade,2.85,477,562,41
GPT-4O_NRAG,95.32,5th Grade,2.438,458,549,46
GPT-4O_NRAG,95.833,5th Grade,2.094,452,545,51
GPT-4O_NRAG,79.384,7th Grade,4.93,508,698,46
GPT-4O_NRAG,95.896,5th Grade,2.513,434,514,41
GPT-4O_NRAG,91.891,5th Grade,2.954,455,563,45
GPT-4O_NRAG,96.76,5th Grade,2.185,429,508,44
GPT-4O_NRAG,97.723,5th Grade,2.113,430,503,43
GPT-4O_NRAG,91.85,5th Grade,3.047,565,697,54
GPT-4O_NRAG,96.4,5th Grade,2.31,422,500,42
GPT-4O_NRAG,80.464,6th Grade,4.67,371,507,35
